名前	カレーの食べ方
波多野 栄一	左ルー・せき止め派
高嶋 詩織	ぶっかけ・せき止め派
恩田 和香	左ルー・ルー攻め派
上条 妃里	左ルー・別口派
川島 莉央	左ルー・ナン派
酒井 遥	左ルー・混ぜ混ぜ派
玉木 竜也	別盛り・ルー攻め派
大原 怜奈	ぶっかけ・混ぜ混ぜ派
成海 仁	奥ルー・ルー攻め派
阪本 小雁	ぶっかけ・ルー攻め派
牧瀬 惇	左ルー・混ぜ混ぜ派
長沢 さやか	ぶっかけ・別口派
三輪 朝陽	奥ルー・せき止め派
榊原 恵梨香	左ルー・混ぜ混ぜ派
小口 直人	左ルー・ルー攻め派
篠原 路子	ぶっかけ・混ぜ混ぜ派
藤村 将也	左ルー・混ぜ混ぜ派
安部 那奈	左ルー・ナン派
宮迫 みき	右ルー・混ぜ混ぜ派
木村 倫子	ぶっかけ・せき止め派
渋谷 研二	右ルー・ルー攻め派
石沢 南朋	左ルー・ルー攻め派
成田 栄一	左ルー・せき止め派
国分 陽子	左ルー・せき止め派
柴山 ジローラモ	ぶっかけ・ナン派
草村 圭	左ルー・ルー攻め派
高沢 育子	ぶっかけ・せき止め派
金田 彩	右ルー・混ぜ混ぜ派
綾瀬 隼士	ぶっかけ・せき止め派
黒沢 サンタマリア	左ルー・せき止め派
永瀬 鉄二	ぶっかけ・ナン派
梅本 勇	左ルー・せき止め派
合田 幸平	手前ルー・別口派
米沢 ひろ子	左ルー・混ぜ混ぜ派
大林 瞳	左ルー・混ぜ混ぜ派
小沼 育二	手前ルー・別口派
麻生 さゆり	手前ルー・ルー攻め派
立川 優一	ぶっかけ・せき止め派
西山 祐一	右ルー・せき止め派
松居 紗季	ぶっかけ・ルー攻め派
渡部 克実	左ルー・せき止め派
水崎 一	ぶっかけ・混ぜ混ぜ派
田辺 草太	ぶっかけ・別口派
小野田 麻由子	ぶっかけ・混ぜ混ぜ派
八木 丈雄	左ルー・別口派
三木 みあ	左ルー・せき止め派
今 光博	左ルー・ルー攻め派
渡部 広司	ぶっかけ・混ぜ混ぜ派
野沢 さんま	ぶっかけ・せき止め派
芦屋 隆	左ルー・別口派
堤 倫子	ぶっかけ・混ぜ混ぜ派
宮川 優	左ルー・混ぜ混ぜ派
風間 貴美子	ぶっかけ・混ぜ混ぜ派
小谷 なぎさ	奥ルー・せき止め派
森口 雅之	ぶっかけ・せき止め派
岡崎 憲一	左ルー・別口派
永山 努	ぶっかけ・ルー攻め派
下田 明日	ぶっかけ・ルー攻め派
小林 春樹	奥ルー・ルー攻め派
柴山 直人	奥ルー・別口派
村井 景子	別盛り・ルー攻め派
村木 敏和	手前ルー・別口派
川西 三郎	左ルー・ナン派
堀田 洋介	ぶっかけ・せき止め派
ともさか 恵麻	左ルー・せき止め派
氏家 優	右ルー・ナン派
小林 愛子	右ルー・せき止め派
阿部 孝太郎	ぶっかけ・せき止め派
本田 隆	左ルー・ルー攻め派
庄司 和久	奥ルー・せき止め派
塩谷 豊	ぶっかけ・せき止め派
川原 茂樹	右ルー・別口派
仲村 璃奈子	左ルー・せき止め派
田村 鉄洋	右ルー・混ぜ混ぜ派
辻 宏行	左ルー・せき止め派
大久保 研二	左ルー・せき止め派
米沢 明慶	ぶっかけ・混ぜ混ぜ派
平山 亮	左ルー・ルー攻め派
西岡 まなみ	左ルー・別口派
広末 未來	左ルー・せき止め派
布川 里穂	右ルー・ルー攻め派
波多野 茜	ぶっかけ・混ぜ混ぜ派
岩沢 恵梨香	左ルー・別口派
菊田 ヒカル	ぶっかけ・ルー攻め派
多田 翔子	左ルー・せき止め派
有田 小百合	右ルー・混ぜ混ぜ派
小木 隆	奥ルー・ルー攻め派
秋葉 公顕	左ルー・ルー攻め派
阪口 雅彦	左ルー・混ぜ混ぜ派
川本 しほり	ぶっかけ・せき止め派
飯塚 薫	左ルー・ナン派
近藤 ヒカル	奥ルー・せき止め派
山内 徹	ぶっかけ・せき止め派
岩佐 小雁	左ルー・混ぜ混ぜ派
小松 杏	右ルー・混ぜ混ぜ派
三船 公顕	ぶっかけ・ルー攻め派
植田 祐基	ぶっかけ・せき止め派
高瀬 真帆	別盛り・せき止め派
須藤 涼子	左ルー・ルー攻め派
松谷 サンタマリア	左ルー・せき止め派
橋爪 サンタマリア	左ルー・せき止め派
中山 洋介	左ルー・ルー攻め派
新垣 光洋	右ルー・ルー攻め派
宮脇 美里	奥ルー・混ぜ混ぜ派
金子 結衣	奥ルー・せき止め派
藤野 知世	奥ルー・ナン派
西岡 美佳	手前ルー・別口派
諏訪 知世	右ルー・混ぜ混ぜ派
宮本 一徳	ぶっかけ・ルー攻め派
天野 基祐	ぶっかけ・ルー攻め派
正木 建	奥ルー・せき止め派
羽田 きみまろ	奥ルー・せき止め派
若山 宏行	左ルー・せき止め派
宮崎 ひかり	奥ルー・ナン派
江口 竜也	左ルー・ナン派
今 奈央	左ルー・せき止め派
関根 真悠子	ぶっかけ・せき止め派
安 未來	左ルー・せき止め派
遠山 惇	右ルー・せき止め派
大後 大樹	手前ルー・混ぜ混ぜ派
勝地 愛	奥ルー・混ぜ混ぜ派
吹石 一恵	ぶっかけ・せき止め派
哀川 剛基	ぶっかけ・せき止め派
中島 一代	左ルー・せき止め派
中林 建	左ルー・せき止め派
山岸 美優	右ルー・混ぜ混ぜ派
邑野 まみ	左ルー・別口派
矢野 薫	左ルー・ルー攻め派
長沢 陽介	別盛り・ルー攻め派
浅見 璃奈子	奥ルー・せき止め派
荒木 輝信	ぶっかけ・別口派
満島 慢太郎	左ルー・混ぜ混ぜ派
井田 優	左ルー・ルー攻め派
岩永 そら	ぶっかけ・ルー攻め派
井口 璃奈子	左ルー・ルー攻め派
原田 宏	左ルー・別口派
西脇 莉緒	ぶっかけ・ルー攻め派
前田 菜々美	左ルー・ルー攻め派
森下 早紀	左ルー・ルー攻め派
福士 佑	左ルー・混ぜ混ぜ派
三上 花緑	奥ルー・せき止め派
畑 隼士	ぶっかけ・せき止め派
西谷 竜也	左ルー・混ぜ混ぜ派
西川 丈史	ぶっかけ・別口派
沢井 隼士	奥ルー・せき止め派
青柳 聡	左ルー・ルー攻め派
古山 裕司	奥ルー・せき止め派
井出 まなみ	手前ルー・せき止め派
山西 美幸	ぶっかけ・混ぜ混ぜ派
岸本 遥	手前ルー・混ぜ混ぜ派
塩谷 ひとみ	ぶっかけ・せき止め派
武藤 敏也	左ルー・せき止め派
宮坂 美菜	右ルー・せき止め派
田畑 あき	左ルー・別口派
川島 桃子	奥ルー・混ぜ混ぜ派
黒谷 季衣	左ルー・別口派
榊原 三省	左ルー・混ぜ混ぜ派
比嘉 博明	右ルー・ルー攻め派
金城 浩正	左ルー・ナン派
小林 雅彦	左ルー・ルー攻め派
高見 英嗣	ぶっかけ・混ぜ混ぜ派
中尾 詩織	ぶっかけ・混ぜ混ぜ派
田辺 めぐみ	ぶっかけ・ルー攻め派
劇団 あき	ぶっかけ・せき止め派
森山 大	左ルー・ルー攻め派
安永 将也	ぶっかけ・混ぜ混ぜ派
畑 さとみ	左ルー・混ぜ混ぜ派
三上 徹	手前ルー・せき止め派
宇田川 敏也	左ルー・混ぜ混ぜ派
堀内 文世	奥ルー・ルー攻め派
坂下 有起哉	左ルー・せき止め派
宇野 秀樹	ぶっかけ・混ぜ混ぜ派
板橋 文世	別盛り・別口派
熊沢 恵子	奥ルー・せき止め派
青柳 貴嶺	左ルー・混ぜ混ぜ派
寺本 未來	ぶっかけ・ナン派
武藤 あさみ	手前ルー・混ぜ混ぜ派
大和 明日	ぶっかけ・せき止め派
茂木 倫子	手前ルー・別口派
三谷 さんま	左ルー・せき止め派
小松 薫	ぶっかけ・混ぜ混ぜ派
大崎 裕司	ぶっかけ・別口派
川村 丈雄	左ルー・別口派
加藤 薫	左ルー・せき止め派
北条 徹	左ルー・せき止め派
風間 憲史	左ルー・混ぜ混ぜ派
河原 隼士	別盛り・ルー攻め派
津田 草太	右ルー・混ぜ混ぜ派
池畑 樹里	手前ルー・混ぜ混ぜ派
小島 礼子	別盛り・ルー攻め派
木内 隆	奥ルー・ルー攻め派
岡 明宏	ぶっかけ・混ぜ混ぜ派
木戸 隆博	右ルー・別口派
亀山 草太	ぶっかけ・せき止め派
木下 知世	奥ルー・ルー攻め派
前川 雅彦	ぶっかけ・せき止め派
川西 直人	左ルー・別口派
長井 隆	奥ルー・ルー攻め派
宇田川 祐基	手前ルー・ナン派
江口 菜摘	左ルー・せき止め派
北 美咲	ぶっかけ・ルー攻め派
田辺 蒼甫	手前ルー・混ぜ混ぜ派
高野 昴	左ルー・別口派
赤羽 桃子	右ルー・ナン派
渡部 亜希	左ルー・混ぜ混ぜ派
長田 研二	ぶっかけ・混ぜ混ぜ派
関谷 菜摘	左ルー・ルー攻め派
北野 広之	左ルー・せき止め派
古賀 ひとり	左ルー・ルー攻め派
鈴木 しほり	左ルー・せき止め派
中原 茜	奥ルー・混ぜ混ぜ派
浜野 翔太	ぶっかけ・せき止め派
金城 俊二	左ルー・混ぜ混ぜ派
浅見 聡	奥ルー・混ぜ混ぜ派
大高 ひとみ	左ルー・ナン派
桑田 耕司	奥ルー・せき止め派
梅沢 丈雄	左ルー・せき止め派
安斎 さゆり	ぶっかけ・混ぜ混ぜ派
安永 勝久	左ルー・ナン派
大沢 美菜	ぶっかけ・せき止め派
森山 広司	手前ルー・ルー攻め派
川越 莉央	ぶっかけ・せき止め派
高木 美咲	手前ルー・せき止め派
浜本 惇	左ルー・せき止め派
丹野 基祐	右ルー・混ぜ混ぜ派
水谷 陽介	ぶっかけ・せき止め派
六角 めぐみ	ぶっかけ・せき止め派
畠山 豊	奥ルー・混ぜ混ぜ派
佐野 祐基	ぶっかけ・別口派
大田 聡	右ルー・ルー攻め派
倉田 里穂	左ルー・混ぜ混ぜ派
佐々木 真一	別盛り・混ぜ混ぜ派
新井 小百合	右ルー・ルー攻め派
深沢 南朋	ぶっかけ・せき止め派
筒井 菊生	左ルー・ルー攻め派
牧田 耕司	ぶっかけ・せき止め派
池畑 友香	奥ルー・ルー攻め派
川上 ひろ子	左ルー・ルー攻め派
小田 徹	左ルー・ルー攻め派
深井 砂羽	ぶっかけ・ルー攻め派
菊地 充則	左ルー・ナン派
宮崎 染五郎	別盛り・せき止め派
深沢 小雁	別盛り・混ぜ混ぜ派
大場 景子	右ルー・ルー攻め派
余 里奈	ぶっかけ・せき止め派
小出 美優	左ルー・せき止め派
日高 花緑	左ルー・せき止め派
平塚 マサカズ	別盛り・せき止め派
小原 美和子	ぶっかけ・せき止め派
堀内 未來	左ルー・ナン派
岩淵 はじめ	右ルー・せき止め派
西岡 竜也	手前ルー・混ぜ混ぜ派
小幡 敦	ぶっかけ・ナン派
朝倉 文世	左ルー・せき止め派
木村 朝陽	ぶっかけ・ルー攻め派
熊倉 沙耶	ぶっかけ・混ぜ混ぜ派
松田 璃子	ぶっかけ・別口派
島袋 高史	左ルー・ルー攻め派
田尻 めぐみ	右ルー・ルー攻め派
渡部 一哉	右ルー・せき止め派
有田 そら	ぶっかけ・せき止め派
今田 亮介	ぶっかけ・混ぜ混ぜ派
安座間 拓郎	ぶっかけ・せき止め派
水川 三省	ぶっかけ・別口派
大木 ジローラモ	手前ルー・ルー攻め派
小谷 恵梨香	ぶっかけ・ルー攻め派
恩田 孝太郎	ぶっかけ・混ぜ混ぜ派
大沼 勇介	ぶっかけ・ルー攻め派
島津 公顕	手前ルー・別口派
三浦 弘也	左ルー・せき止め派
生瀬 花	ぶっかけ・せき止め派
増井 しほり	奥ルー・混ぜ混ぜ派
井村 ケンイチ	左ルー・せき止め派
藤野 希	左ルー・せき止め派
山口 優	ぶっかけ・ルー攻め派
加瀬 美和子	ぶっかけ・ルー攻め派
相田 美佐子	ぶっかけ・ナン派
平 惇	左ルー・ルー攻め派
黄川田 長利	左ルー・別口派
井田 美紀	左ルー・混ぜ混ぜ派
内田 祐一	ぶっかけ・せき止め派
日下 達士	左ルー・ルー攻め派
新谷 遥	ぶっかけ・せき止め派
大沢 茜	奥ルー・せき止め派
磯野 正義	ぶっかけ・ルー攻め派
篠田 薫	左ルー・混ぜ混ぜ派
福田 高史	手前ルー・せき止め派
水上 紗季	ぶっかけ・せき止め派
北 一徳	手前ルー・別口派
長島 だん吉	右ルー・ナン派
平沢 真一	ぶっかけ・混ぜ混ぜ派
福島 雅彦	奥ルー・ルー攻め派
牧 奈央	ぶっかけ・ルー攻め派
関谷 美帆	左ルー・ルー攻め派
尾形 真悠子	ぶっかけ・混ぜ混ぜ派
角 たかお	左ルー・ナン派
小峰 雅彦	ぶっかけ・ルー攻め派
細谷 由宇	ぶっかけ・せき止め派
臼井 昴	手前ルー・せき止め派
福島 蒼甫	左ルー・せき止め派
阪本 徹	奥ルー・せき止め派
岩佐 貴嶺	左ルー・ルー攻め派
志賀 佳乃	左ルー・別口派
竹中 綾女	左ルー・せき止め派
小幡 信吾	奥ルー・せき止め派
広川 フミヤ	奥ルー・せき止め派
千田 メイサ	奥ルー・せき止め派
須賀 淳子	左ルー・せき止め派
内村 まひる	奥ルー・ルー攻め派
川村 直人	右ルー・別口派
堀井 玲那	左ルー・せき止め派
杉本 良介	ぶっかけ・せき止め派
板橋 秀隆	ぶっかけ・せき止め派
武田 和香	右ルー・別口派
江口 悟志	奥ルー・ルー攻め派
前島 直人	左ルー・混ぜ混ぜ派
大島 一代	別盛り・ルー攻め派
井沢 彩華	別盛り・ルー攻め派
末永 しぼり	左ルー・せき止め派
中川 将也	手前ルー・せき止め派
大内 豊	奥ルー・せき止め派
宮崎 憲史	左ルー・ルー攻め派
石沢 竜也	左ルー・混ぜ混ぜ派
高畑 里奈	別盛り・ルー攻め派
鶴田 豊	ぶっかけ・ルー攻め派
浅見 みき	ぶっかけ・せき止め派
及川 真希	ぶっかけ・混ぜ混ぜ派
酒井 真一	ぶっかけ・ルー攻め派
塚田 那奈	ぶっかけ・ルー攻め派
磯村 季衣	左ルー・ルー攻め派
小松 菜摘	ぶっかけ・混ぜ混ぜ派
井本 美希	左ルー・ルー攻め派
滝田 進	別盛り・ルー攻め派
細野 はるみ	奥ルー・ルー攻め派
神崎 将也	左ルー・ルー攻め派
宇野 美紀	奥ルー・別口派
森井 恵梨香	ぶっかけ・混ぜ混ぜ派
高島 俊二	ぶっかけ・ルー攻め派
松岡 光	左ルー・混ぜ混ぜ派
中村 遥	左ルー・混ぜ混ぜ派
関 希	左ルー・せき止め派
